GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
ABCC9	"Cardiomyopathy, dilated, 10; Atrial fibrillation, familial 12; Cantu syndrome"	AD			
ABCD1	Adrenoleukodystrophy	XL			
ABCD3	Zellweger syndrome	AR	N/A		
ABCD4	"Methylmalonic aciduria and homocystinuria, cblJ type"	AR			
ABCG2	"Blood group, junior system"	BG			
ABCG5	Sitosterolemia	AR			
ABCG8	Sitosterolemia	AR			
ABHD12	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"	AR	N/A		
ABHD5	Chanarin-Dorfman syndrome	AR	N/A		
ABO	"Blood group, ABO system"	BG			
ACAD8	Isobutyryl-CoA dehydrogenase deficiency	AR			
ACAD9	"Acyl-CoA dehydrogenase family, member 9, deficiency of"	AR			
ACADM	"Acyl-CoA dehydrogenase, medium chain, deficiency of"	AR			
ACADS	"Acyl-CoA dehydrogenase, short-chain, deficiency of"	AR			
ACADSB	2-methylbutyryl-CoA dehydrogenase deficiency	AR	N/A		
ACADVL	"Acyl-CoA dehydrogenase, very long chain, deficiency of"	AR			
ACAN	"Spondyloepimetaphyseal dysplasia, aggrecan type; Spondyloepiphyseal dysplasia, Kimberley type; Osteochondritis dissecans, short stature, and early-onset osteoarthritis "	AD/AR	N/A		
ACAT1	3-oxothiolase deficiency	AR			
ACE	Renal tubular dysgenesis; ACE serum levels	AD/AR	N/A		
ACHE	"Blood group, Yt system"	BG			
ACO2	Infantile cerebellar-retinal degeneration	AR	N/A		
ACOX1	Peroxisomal acyl-CoA oxidase deficiency	AR	N/A		
ACP5	Spondyloenchondrodysplasia with immune dysregulation	AR			
ACSF3	Combined malonic and methylmalonic aciduria	AR			
ACSL4	"Mental retardation, X-linked 63"	XL	N/A		
ACTA1	"Myopathy, congenital, with fiber-type disproportion 1; Myopathy, nemaline 3; Myopathy, nemaline, with stiffness and hypertonia"	AD	N/A		
ACTA2	"Moyamoya disease; Multisystemic smooth muscle dysfunction syndrome; Aortic aneurysm, familial thoracic 6"	AD			
ACTB	"Dystonia, juvenile-onset; Baraitser-Winter syndrome 2"	AD	N/A		
ACTC1	"Cardiomyopathy, dilated , 1R; Cardiomyopathy, familial hypertrophic 11; Cardiomyopathy, restrictive; Left ventricular noncompaction; Atrial septal defect 5"	AD			
ACTG1	"Deafness, autosomal dominant 20; Baraitser-Winter syndrome 2"	AD	N/A		
ACTN1	"Bleeding disorder, platelet-type, 15"	AD	N/A		
ACTN2	"Cardiomyopathy, dilated, 1AA; Cardiomyopathy, hypertrophic"	AD			
ACTN4	"Glomerulosclerosis, focal segmental, 4"	AD	N/A		
ACVR1	Fibrodysplasia ossificans progressiva	AD	N/A		
ACVR2B	"Heterotaxy, visceral, 4, autosomal"	AD	N/A		
ACVRL1	"Hereditary hemorrhagic telangiectasia, type 2"	AD			
ACY1	Aminoacylase 1 deficiency	AR	N/A		
ADA	Severe combined immunodeficiency due to adenosine deaminase deficiency	AR			
ADAM17	"Inflammatory skin and bowel disease, neonatal"	AR			
ADAM9	Cone-rod dystrophy 9	AR	N/A		
ADAMTS10	Weill-Marchesani syndrome 1	AR			
ADAMTS13	"Thrombotic thrombocytopenic purpura, familial; Schulman-Upshaw syndrome"	AR			
ADAMTS17	Weill-Marchesani-like syndrome	AR			
ADAMTS18	"Knobloch syndrome 2; Retinal dystrophy, early onset, autosomal recessive"	AR	N/A		
ADAMTS2	"Ehlers-Danlos syndrome, type VII"	AR			
ADAMTSL2	Geleophysic dysplasia 1	AR			
ADAMTSL4	"Ectopia lentis, isolated, autosomal recessive"	AR			
ADAR	Dyschromatosis symmetrica hereditaria; Aicardi-Goutieres syndrome 6	AD/AR	N/A		
ADCK3	Coenzyme Q10 deficiency; Progressive cerebellar ataxia and atrophy; Spinocerebellar ataxia 9	AR			
ADK	Hypermethioninemia due to adenosine kinase deficiency	AD	N/A		
ADRA2C	"Beta-blocker response, association with"	AD			
ADRB1	"Beta-blocker response, association with"	AD			
ADRB2	"Beta-2-adrenoreceptor agonist, reduced response to"	AD			
ADSL	Adenylosuccinase deficiency	AR	N/A		
AFF2	Premature ovarian failure	XL	"Allelic with Mental retardation, X-linked, FRAXE type (XL)"		
AFG3L2	"Spinocerebellar ataxia 28; Ataxia, spastic, 5, autosomal recessive"	AD/AR	N/A		
AFP	"AFP deficiency, congenital; Hereditary persistence of AFP"	AD/AR	N/A		
AGA	Aspartylglucosaminuria	AR	N/A		
AGK	Sengers syndrome	AR	"Allelic with Cataract, autosomal recessive; Cataract, autosomal recessive, congenital 5"		
AGL	Glycogen storage disease III	AR			
AGPAT2	"Lipodystrophy, congenital generalized, type 1"	AR			
AGPS	"Rhizomelic chondrodysplasia punctata, type 3"	AR	N/A		
AGRN	"Myasthenia, limb-girdle, familial"	AR			
AGT	Renal tubular dysgenesis	AR	N/A		
AGTR1	Renal tubular dysgenesis	AR	N/A		
AGTR2	"Mental retardation, X-linked 88"	XL	N/A		
AGXT	"Hyperoxaluria, primary, type 1"	AR			
AHCY	Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency	AR			
AHI1	Joubert syndrome 3	AR	N/A		
AICDA	"Immunodeficiency with hyper-IgM, type 2"	AR			
AIFM1	Combined oxidative phosphorylation deficiency 6; Cowchock syndrome	XL	N/A		
AIMP1	"Leukodystrophy, hypomyelinating, 3"	AR	N/A		
AIP	"Pituitary adenoma, familial isolated"	AD			
AIPL1	"Leber congenital amaurosis 4; Retinitis pigmentosa, juvenile, AIPL1-related; Cone-rod dystrophy, AIPL1-related"	AD/AR	N/A		
AIRE	"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia"	AD/AR			
AK1	"Adenylate kinase deficiency, hemolytic anemia due to"	AR			
AK2	Reticular dysgenesis 	AR			
AKAP9	Long QT syndrome 11	AD			
AKR1C2	"46,XY sex reversal 8"	AR			
AKR1D1	"Bile acid synthesis defect, congenital, 2"	AR			
AKT1	Cowden syndrome 6; Proteus syndrome 	AD			
AKT2	Hypoinsulinemic hypoglycemia with hemihypertrophy	AD			
ALAD	"Porphyria, acute hepatic"	AR			
ALAS2	"Anemia, sideroblastic, X-linked; Protoporphyria, erythropoietic"	XL			
ALB	Dysalbuminemic hyperthyroxinemia; Analbuminemia	AD/AR	Allelic with Bisalbuminemia (AD); Paralbuminemia (AD); Dysalbuminemic hyperzincemia (AD)		
ALDH18A1	"Cutis laxa, autosomal recessive, type IIIA"	AR	N/A		
ALDH1A3	"Microphthalmia, isolated 8"	AR	N/A		
ALDH3A2	Sjogren-Larsson syndrome	AR	N/A		
ALDH4A1	"Hyperprolinemia, type II "	AR	N/A		
ALDH5A1	Succinic semialdehyde dehydrogenase deficiency	AR	N/A		
ALDH6A1	Methylmalonate semialdehyde dehydrogenase deficiency	AR	N/A		
ALDH7A1	"Epilepsy, pyridoxine-dependent"	AR			
ALDOA	Glycogen storage disease XII	AR			
ALDOB	"Fructose intolerance, hereditary"	AR			
ALG1	"Congenital disorder of glycosylation, type Ik"	AR	 		
ALG11	"Congenital disorder of glycosylation, type Ip"	AR	 		
ALG12	"Congenital disorder of glycosylation, type Ig"	AR	 		
ALG13	"Congenital disorder of glycosylation, type Is"	XL	 		
ALG14	"Congenital myasthenic syndrome, autosomal recessive"	AR			
ALG2	"Congenital disorder of glycosylation, type Ii; Congenital myasthenic syndrome, autosomal recessive"	AR			
ALG3	"Congenital disorder of glycosylation, type Id"	AR	 		
ALG6	"Congenital disorder of glycosylation, type Ic"	AR	 		
ALG8	"Congenital disorder of glycosylation, type Ih"	AR	 		
ALG9	"Congenital disorder of glycosylation, type Il"	AR	Pediatric		
ALK	"Neuroblastoma, susceptibility to, 3"	AD			
ALMS1	Alstrom syndrome	AR			
ALOX12B	"Ichthyosiform erythroderma, congenital, nonbullous, 1"	AR	N/A		
ALOX5	"Asthma, diminished response to antileukotriene treatment in"	AD			
ALOXE3	"Ichthyosiform erythroderma, congenital, nonbullous, 1"	AR	N/A		
ALPL	Hypophosphatasia; Odontohypophosphatasia	AD/AR			
ALS2	"Spastic paralysis, infantile onset ascending; Primary lateral sclerosis, juvenile; Amyotrophic lateral sclerosis, juvenile"	AR	N/A		
ALS2CL	Schizophrenia	AD	N/A		
ALX1	Frontonasal dysplasia 3	AR	N/A		
ALX3	Frontonasal dysplasia 1	AR	N/A		
ALX4	Parietal foramina 2; Frontonasal dysplasia 2	AD/AR	N/A		
AMACR	"Bile acid synthesis defect, congenital, 4; Alpha-methylacyl-CoA racemase deficiency"	AR			
AMELX	"Amelogenesis imperfecta,  type 1E"	XL	N/A		
AMER1	Osteopathia striata with cranial sclerosis	XL	N/A		
AMH	"Persistent Mullerian duct syndrome, type I"	AR			
AMHR2	"Persistent Mullerian duct syndrome, type II"	AR			
AMN	"Megaloblastic anemia-1, Norwegian type"	AR			
AMPD1	Myoadenylate deaminase deficiency	AR	N/A		
AMPD3	Erythrocytic AMP deaminase deficiency	AD/AR	N/A		
AMT	Glycine encephalopathy	AR			
ANG	Amyotrophic lateral sclerosis 9	AD	N/A		
ANGPTL3	"Hypobetalipoproteinemia, familial, 2"	AR	N/A		
ANK1	"Spherocytosis, hereditary 1"	AD/AR			
ANK2	"Long QT syndrome, 4; Cardiac arrhythmia, ankyrin-B-related "	AD			
ANKH	Craniometaphyseal dysplasia; Chondrocalcinosis 2 	AD	N/A		
ANKRD11	KBG syndrome	AD	N/A		
ANKRD26	Thrombocytopenia 2	AD			
ANO10	"Spinocerebellar ataxia, autosomal recessive 10"	AR	N/A		
ANO3	"Craniocervical dystonia, autosomal dominant (Dystonia 24)"	AD	N/A		
ANO5	Gnathodiaphyseal dysplasia	AR	"Allelic with Miyoshi muscular dystrophy 3 (AR); Muscular dystrophy, limb-girdle, type 2L (AR)"		
ANO6	Scott syndrome	AR			
ANTXR1	"Hemangioma, capillary infantile, susceptibility to; Growth retardation, alopecia, pseudoanodontia, and optic atrophy (GAPO syndrome)"	AD/AR	N/A		
ANTXR2	"Hyalinosis, infantile systemic; Fibromatosis, juveline hyaline"	AR			
AP1S2	"Mental retardation, X-linked syndromic, Fried type"	XL	N/A		
AP3B1	Hermansky-Pudlak syndrome 2	AR			
AP4B1	"Spastic paraplegia 47, autosomal recessive"	AR	N/A		
AP4E1	"Spastic paraplegia 51, autosomal recessive"	AR	N/A		
AP4M1	"Spastic paraplegia 50, autosomal recessive"	AR	N/A		
AP4S1	"Spastic paraplegia 52, autosomal recessive"	AR	N/A		
AP5Z1	"Spastic paraplegia 48, autosomal recessive"	AR	N/A		
APC	"Familial adenomatous polyposis; Gardner syndrome; Desmoid disease, hereditary"	AD			
APCDD1	Hypotrichosis simplex	AD	N/A		
APOA1	"Hypoalphalipoproteinemia; Amyloidosis, systemic nonneuronopathic"	AD/AR			
APOA2	Apolipoprotein A-II deficiency	AR	N/A		
APOA5	Hyperchylomicronemia	AD/AR			
APOB	"Hypobetalipoproteinemia, familial; Hypercholesterolemia, familial"	AD/AR			
APOC2	"Hyperlipoproteinemia, type Ib"	AR			
APOC3	Hyperalophalipoproteinemia 2	AD	N/A		
APOE	"Dysbetalipoproteinemia, familial (Hyperlipoproteinemia, type III); Lipoprotein glomerulopathy; Sea-blue histiocyte disease"	AD/AR			
APP	"Alzheimer disease, familial; Cerebral amyloid angiopathy"	AD/AR	N/A		
APRT	Adenine phosphoribosyltransferase deficiency	AR			
APTX	"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia"	AR	N/A		
AQP1	"Blood group, Colton"	BG			
AQP2	"Diabetes insipidus, nephrogenic, autosomal"	AD/AR			
AQP3	"Blood group, GIL"	BG			
AR	"Androgen insensitivity; Androgen insensitivity, partial"	XL	"Allelic with Spinal and bulbar muscular atrophy, X-linked 1 (XL) (a trinucleotide repeat disorder); Hypospadias 1, X-linked (XL)"		
ARFGEF2	"Heterotopia, periventricular, autosomal recessive"	AR	N/A		
ARG1	Hyperargininemia	AR			
ARHGAP31	Adams-Oliver syndrome 1	AD	N/A		
ARHGDIA	"Nephrotic syndrome, type 8"	AR	N/A		
ARHGEF10	"Slowed nerve conduction velocity, AD"	AD	N/A		
ARHGEF6	"Mental retardation, X-linked 46"	XL	N/A		
ARHGEF9	"Epileptic encephalopathy, early infantile, 8"	XL	N/A		
ARID1A	"Mental retardation, autosomal dominant 14; Coffin-Siris syndrome"	AD	N/A		
ARID1B	"Mental retardation, autosomal dominant, 12; Coffin-Siris syndrome"	AD	N/A		
ARL13B	Joubert syndrome 8	AR	N/A		
ARL6	Retinitis pigmentosa 55; Bardet Biedl syndrome 3	AR	N/A		
ARSA	Metachromatic leukodystrophy	AR	N/A		
ARSB	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	AR			
ARSE	"Chondrodysplasia punctata 1, X-linked recessive "	XL	N/A		
ART4	"Blood group, Dombrock"	BG			
ARX	"Partington X-linked mental retardation syndrome; Epileptic encephalopathy, early infantile, 1; Lissencephaly, X-linked 2; Hydranencephaly with abnormal genitalia; Mental retardation, X-linked 29/32/33/38/43/54/76/87; Proud syndrome; Corpus callosum, agenesis of, with abnormal genitalia"	XL	N/A		
ASAH1	Farber lipogranulomatosis	AR	N/A		
ASCC1	Barrett esophagus/Esophageal adenocarcinoma	AD			
ASCL1	"Central hypoventilation syndrome, congenital (Haddad syndrome)"	AD			
ASL	Argininosuccinic aciduria	AR			
ASPA	Aspartoacylase deficiency (Canavan disease)	AR	N/A		
ASPM	"Microcephaly, primary autosomal recessive, 5"	AR	N/A		
ASS1	Citrullinemia 	AR			
ASXL1	Bohring-Opitz syndrome	AD	N/A		
ASXL3	Bohring-Opitz-like syndrome	AD	N/A		
ATCAY	"Ataxia, cerebellar, Cayman type"	AR	N/A		
ATIC	AICAR transformylase/IMP cyclohydrolase deficiency	AR	N/A		
ATL1	"Neuropathy, hereditary sensory, type 1D; Spastic paraplegia 3A, autosomal dominant"	AD	N/A		
ATM	Ataxia-Telangiectasia	AR			
ATN1	Dentatorubro-pallidoluysian atrophy	AD	N/A		
ATOH7	"Retinal nonattachment, nonsyndromic congenital"	AR	N/A		
ATP13A2	Parkinson disease 9	AR	N/A		
ATP1A2	"Alternating hemiplegia of childhood; Migraine, familial hemiplegic 2"	AD/AR	"Allelic with Migraine, familial hemiplegic, 2 (AD); Migraine, familial basilar (AD)"		
ATP1A3	Dystonia 12; Alternating hemiplegia of childhood 2 	AD	N/A		
ATP2A1	Brody myopathy	AR			
ATP2A2	Darier disease; Acrokeratosis verruciformis (Hopf disease)	AD	N/A		
ATP2C1	"Pemphigus, benign familial; Hailey-Hailey disease"	AD	N/A		
ATP5A1	"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4"	AR	N/A		
ATP5E	"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3"	AR	N/A		
ATP6AP2	"Mental retardation, X-linked, syndromic, Hedera type"	XL	N/A		
ATP6V0A2	"Cutis laxa, autosomal recessive, type IIA; Wrinkly skin syndrome"	AR	N/A		
ATP6V0A4	"Renal tubular acidosis, distal, autosomal recessive"	AR			
ATP6V1B1	Renal tubular acidosis with deafness	AR			
ATP7A	Menkes disease	XL	"Allelic with Occipital horn syndrome (XL); Spinal muscular atrophy, distal, X-linked 3 (XL)"		
ATP7B	Wilson disease	AR			
ATP8B1	"Familial intrahepatic cholestasis, recurrent; Cholestasis, progressive familial intrahepatic 1; Intrahepatic cholestasis of pregnancy"	AD/AR	Allelic with Benign recurrent intrahepatic cholestasis (AD/AR)		
ATPAF2	"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1"	AR	N/A		
ATR	"Cutaneous telangiectasia and cancer syndrome, familial; Seckel syndrome 1"	AD/AR			
ATRX	"Mental retardation-hypotonic facies syndrome, X-linked; Juberg-Marsidi syndrome; Carpenter-Waziri syndrome; Holmes-Gang syndrome; Smith-Fineman-Myers syndrome; Alpha-thalassemia/mental retardation syndrome "	XL	N/A		
ATXN1	Spinocerebellar ataxia 1	AD	N/A		
ATXN10	Spinocerebellar ataxia 10	AD	N/A		
ATXN2	Spinocerebellar ataxia 2	AD	N/A		
ATXN3	Machado-Joseph disease	AD	N/A		
ATXN7	Spinocerebellar ataxia 7	AD	N/A		
ATXN8	Spinocerebellar ataxia 8	AD	N/A		
ATXN8OS	Spinocerebellar ataxia 8	AD	N/A		
AUH	"3-methylglutaconic aciduria, type I"	AR	N/A		
AURKC	Spermatogenic failure 5	AR	N/A		
AUTS2	"Intellectual disability and autism, syndromic"	AD	N/A		
AVP	"Diabetes insipidus, neurohypophyseal"	AD/AR			
AVPR2	"Diabetes insipidus, nephrogenic, X-linked"	XL			
AXIN1	Caudal duplication anomaly	AD/Methylation	N/A		
AXIN2	Oligodontia-colorectal cancer syndrome	AD	"Allelic with Oligondontia, isolated (AD)"		
B2M	"Hypoproteinemia, hypercatabolic "	AR	"Allelic with Amyloidosis, systemic visceral (AD) (In amyloidosis, liver transplantation may be beneficial, but it is not clear if early (genetic) diagnosis would be beneficial)"		
B3GALNT1	"Blood group, P system"	BG			
B3GALNT2	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 11"	AR	N/A		
B3GALTL	Peters-plus syndrome	AR			
B3GAT3	"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"	AR	N/A		
B4GALT1	"Congenital disorder of glycosylation, type IId"	AR			
B4GALT7	"Ehlers-Danlos syndrome, progeroid form"	AR	N/A		
B9D1	"Meckel syndrome, type 9"	AR	N/A		
B9D2	"Meckel syndrome, type 10"	AR	N/A		
BAAT	"Hypercholanemia, familial"	AR			
BAG3	"Cardiomyopathy, dilated, 1HH; Myopathy, myofibrillar 6"	AD			
BANF1	Nestor-Guillermo progeria syndrome	AR	N/A		
BAP1	Tumor predisposition syndrome	AD			
BBS1	Bardet-Biedl syndrome 1	AR 	N/A		
BBS10	Bardet-Biedl syndrome 10	AR 	N/A		
BBS12	Bardet-Biedl syndrome 12	AR 	N/A		
BBS2	Bardet-Biedl syndrome 2	AR 	N/A		
BBS4	Bardet-Biedl syndrome 4	AR 	N/A		
BBS5	Bardet-Biedl syndrome 5	AR 	N/A		
BBS7	Bardet-Biedl syndrome 7	AR 	N/A		
BBS9	Bardet-Biedl syndrome 9	AR	N/A		
BCAM	"Blood group, Lutheran system; Blood group, Auberger system; Lutheran, null"	BG			
BCHE	Butyrlcholinesterase deficiency	AR			
BCKDHA	"Maple syrup urine disease, type Ia"	AR			
BCKDHB	"Maple syrup urine disease, type Ib"	AR			
BCKDK	Branched-chain ketoacid dehydrogenase kinase deficiency	AR			
BCMO1	"Hypercarotenemia and vitamin A deficiency, autosomal dominant"	AD/AR			
BCOR	"Microphthalmia, syndromic 2; Oculofaciocardiodental syndrome"	XL	N/A		
BCR	"CML treatment, response to"	AD			
BCS1L	Bjornstad syndrome	AR	"Allelic with GRACILE syndrome (AR); Leigh syndrome (AR); Mitochondrial complex III deficiency (AR), in which some treatment attempts (eg, with apotransferrin) have been reported, and treatment with ""mitochondrial cocktail"" type therapy may be beneficial"		
BDNF	"Central hypoventilation syndrome, congenital"	AD			
BEAN1	Spinocerebellar ataxia 31	AD	N/A		
BEST1	"Vitreoretinochoroidopathy; Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma "	AD	"Allelic with  Macular dystrophy, vitelliform, adult-onset (AD); Retinitis pigmentosa 50 (AD); Macular dystrophy, vitelliform (AD); Best macular dystrophy (AD); Bestrophinopathy, autosomal recessive (AR)"		
BFSP1	"Cataract, cortical, juvenile-onset"	AR	N/A		
BFSP2	"Cataract, autosomal dominant, multiple types 1;  Diffuse cortical cataract with scattered lens opacities, autosomal recessive"	AD/AR	N/A		
BHLHE41	Short sleeper	AD	N/A		
BICC1	"Renal dysplasia, cystic, susceptibility to"	AD			
BIN1	"Myopathy, centronuclear, 2"	AR	N/A		
BLK	"Maturity-onset diabetes of the young, type 11"	AD	N/A		
BLM	Bloom syndrome	AR			
BLNK	Agammaglobulinemia 4	AR			
BLOC1S3	Hermansky-Pudlak syndrome type 8	AR			
BLOC1S6	Hermansky-Pudlak syndrome type 9	AR			
BLVRA	Hyperbiliverdinemia	AD/AR	N/A		
BMP1	"Osteogenesis imperfecta, type XIII"	AR	N/A		
BMP15	Premature ovarian failure 4; Ovarian dysgenesis 2	XL			
BMP4	"Microphthalmia, syndromic 6; Orofacial cleft 11"	AD	N/A		
BMPER	Diaphanospondylodysostosis	AR	N/A		
BMPR1A	"Polyposis syndrome, hereditary mixed, 2; Polyposis, juvenile intestinal"	AD			
BMPR1B	"Chondrodysplasia, acromesomelic, with genital anomalies; Brachydactyly A2; Brachydactyly C/Symphalangism-like phenotype"	AD/AR	N/A		
BMPR2	"Pulmonary hypertension, primary; Pulmonary venoocclusive disease"	AD			
BOLA3	Multiple mitochondrial dysfunctions syndrome 2	AR	N/A		
BPGM	Bisphosphoglycerate mutase deficiency	AD/AR			
BRAF	Noonan syndrome; Cardiofaciocutaneous syndrome; LEOPARD syndrome	AD			
BRAT1	"Rigidity and multifocal seizure syndrome, lethal neonatal"	AR	N/A		
BRCA1	"Breast-ovarian cancer, familial, susceptibility to, 1; Pancreatic cancer, susceptibility to"	AD			
BRCA2	"Breast-ovarian cancer, familial, susceptibility to; Pancreatic cancer, susceptibility to, 2; Glioma susceptibility 3; Fanconi anemia, complementation group D1; Wilms tumor; Medulloblastoma"	AD/AR			
BRIP1	"Fanconi anemia, complementation group J"	AR			
BRWD3	"Mental retardation, X-linked 93"	XL	N/A		
BSCL2	"Lipodystrophy, congenital generalized, type 1"	AR	"Allelic with Neuropathy, distal hereditary motor, type V (AD); Charcot-Marie-Tooth disease type 2 (AD); Silver syndrome (AD); Silver spastic paraplegia syndrome (AD); Spastic paraplegia 17 (AD)"		
BSG	"Blood group, OK"	BG			
BSND	"Bartter syndrome, type 4a; Sensorineural deafness with mild renal dysfunction "	AR			
BTD	Biotinidase deficiency	AR			
BTK	"Agammaglobulinemia, X-linked; Agammaglobulinemia and isolated hormone deficiency; Hypogammaglobulinemia, X-linked"	XL			
BUB1B	Mosaic variegated aneuploidy syndrome; Premature chromatid separation trait	AD/AR			
C10ORF11	"Albinism, oculocutaneous, type V"	AR	N/A		
C10ORF2	"Progressive external ophthalmoplegia, autosomal dominant, 3; Mitochondrial DNA depletion syndrome 7 (hepatocerebral type); Multisystemic failure with renal tubulopathy; Spinocerebellar ataxia 8"	AD/AR	N/A		
C12ORF57	"Corpus callosum hypoplasia, recessive"	AR	N/A		
C12ORF65	"Combined oxidative phosphorylation deficiency 7; Spastic paraplegia 55, autosomal recessive "	AR	N/A		
C19ORF12	Neurodegeneration with brain iron accumulation 4	AR	N/A		
C1QA	C1q deficiency	AR			
C1QB	C1q deficiency	AR			
C1QC	C1q deficiency	AR			
C1QTNF5	Late-onset retinal degeneration	AD	N/A		
C1S	Complement component C1s deficiency	AR			
C2	Complement component 2 deficiency	AR			
C2ORF71	Retinitis pigmentosa 54	AR	N/A		
C3	"Complement component 3 deficiency, autosomal recessive; Hemolytic uremic syndrome, atypical, susceptibility to, 5"	AR	"Allelic with Macular degeneration, age-related (AD)"		
C4A	"Blood group, Chido/Rodgers system"	BG	Allelic with Complement component 4A deficiency (AR)		
C4B	Complement component 4B deficiency	AR	N/A		
C5	Complement component 5 deficiency	AR			
C5ORF42	Joubert syndrome 17	AR	N/A		
C6	Complement component 6 deficiency	AR			
C7	Complement component 7 deficiency	AR			
C7ORF10	Glutaric aciduria III	AR	N/A		
C8A	"Complement component 8 deficiency, type I"	AR			
C8B	"Complement component 8 deficiency, type II"	AR			
C8ORF37	Retinitis pigmentosa 64; Cone-rod dystrophy 16	AR	N/A		
C9	Complement component 9 deficiency	AR			
C9ORF72	Amyotrophic lateral sclerosis with frontotemporal dementia 1	AD	N/A		
CA12	"Hyperchlorhidrosis, isolated"	AR			
CA2	"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis"	AR			
CA4	Retinitis pigmentosa 17	AD	N/A		
CA8	"Cerebellar ataxia, mental retardation, and dysequilibrium sydnrome 3"	AR	N/A		
CABP2	"Deafness, autosomal recessive 93"	AR			
CABP4	"Night blindness, congenital stationary, type 2B"	AR	N/A		
CACNA1A	"Episodic ataxia, type 2; Migraine, familial hemiplegic 1"	AD	Allelic with Spinocerebellar ataxia 6 (AD)		
CACNA1C	Brugada syndrome 3; Timothy syndrome	AD			
CACNA1D	Sinoatrial node dysfunction and deafness	AR			
CACNA1F	"Aland Island eye disease; Cone-rod dystrophy, X-linked, 3; Night blindness, congenital stationary, X-linked, type 2A"	XL	N/A		
CACNA1S	"Malignant hyperthermia susceptibility 5; Thyrotoxic period paralysis, susceptibility 1; Hypokalemic periodic paralysis, type 1"	AD			
CACNA2D2	"Early infantile epileptic encephalopathy, High voltage gated calcium channelopathy-related, autosomal recessive"	AR	N/A		
CACNA2D4	Retinal cone dystrophy 4	AR	N/A		
CACNB2	Brugada syndrome 4	AD			
CACNB4	"Episodic ataxia, type 5"	AD	"Allelic with Epilepsy, idiopathic generalized, susceptibility to (AD), which appears to be an incompletely penetrant condition, and for which optimal seizure control would be beneficial, but may not otherwise require specific interventions"		
CACNG2	"Mental retardation, autosomal dominant 10"	AD	N/A		
CALM1	"Ventricular tachycardia, catecholaminergic polymorphic, 4; Recurrent cardiac arrest, infantile"	AD			
CALM2	"Recurrent cardiac arrest, infantile"	AD			
CALR3	"Cardiomyopathy, familial hypertrophic, 19"	AD			
CAMTA1	"Cerebellar ataxia, nonprogressive, with mental retardation"	AD	N/A		
CANT1	Desbuquois dysplasia	AR	N/A		
CAPN3	"Muscular dystrophy, limb-girdle, type 2A; Eosinophilic myositis"	AR	N/A		
CARD11	"Congenital B cell lymphocytosis; Immunodeficiency, autosomal recessive, CARD11-related"	AD/AR			
